Người bán,Địa chỉ,Mã số thuế,Số hóa đơn,Thời gian,Tên sản phẩm,Số lượng,Đơn giá,Thành tiền,Tổng cộng,Tiền khách đưa,Tiền thối
QUÁN NHẬU BÌNH DÂN 120,129 HUỲNH TẤN PHÁT - HẢI CHÂU - ĐÀ NẴNG,,8793,,Tiger nâu,4,14000.0,56000.0,326000.0,,
QUÁN NHẬU BÌNH DÂN 120,129 HUỲNH TẤN PHÁT - HẢI CHÂU - ĐÀ NẴNG,,8793,,Bánh tráng,3,3000.0,9000.0,326000.0,,
QUÁN NHẬU BÌNH DÂN 120,129 HUỲNH TẤN PHÁT - HẢI CHÂU - ĐÀ NẴNG,,8793,,Cá Lóc chiên mắm xoài,1,60000.0,60000.0,326000.0,,
QUÁN NHẬU BÌNH DÂN 120,129 HUỲNH TẤN PHÁT - HẢI CHÂU - ĐÀ NẴNG,,8793,,Bao tử ếch xào sả,1,35000.0,35000.0,326000.0,,
QUÁN NHẬU BÌNH DÂN 120,129 HUỲNH TẤN PHÁT - HẢI CHÂU - ĐÀ NẴNG,,8793,,Hến xào,1,12000.0,12000.0,326000.0,,
QUÁN NHẬU BÌNH DÂN 120,129 HUỲNH TẤN PHÁT - HẢI CHÂU - ĐÀ NẴNG,,8793,,Khoai tây chiên,1,15000.0,15000.0,326000.0,,
QUÁN NHẬU BÌNH DÂN 120,129 HUỲNH TẤN PHÁT - HẢI CHÂU - ĐÀ NẴNG,,8793,,Bắp non xào,1,15000.0,15000.0,326000.0,,
QUÁN NHẬU BÌNH DÂN 120,129 HUỲNH TẤN PHÁT - HẢI CHÂU - ĐÀ NẴNG,,8793,,Nước ngọt chai,2,8000.0,16000.0,326000.0,,
QUÁN NHẬU BÌNH DÂN 120,129 HUỲNH TẤN PHÁT - HẢI CHÂU - ĐÀ NẴNG,,8793,,Nước suối,1,8000.0,8000.0,326000.0,,
QUÁN NHẬU BÌNH DÂN 120,129 HUỲNH TẤN PHÁT - HẢI CHÂU - ĐÀ NẴNG,,8793,,Sụn Gà chiên mắm,1,40000.0,40000.0,326000.0,,
QUÁN NHẬU BÌNH DÂN 120,129 HUỲNH TẤN PHÁT - HẢI CHÂU - ĐÀ NẴNG,,8793,,Gân cá ngừ xào sả,1,35000.0,35000.0,326000.0,,
QUÁN NHẬU BÌNH DÂN 120,129 HUỲNH TẤN PHÁT - HẢI CHÂU - ĐÀ NẴNG,,8793,,Thuốc ngứa,1,25000.0,25000.0,326000.0,,
